      density       alpha     S_nem     F(iso)     F(nem)     P(iso)     P(nem)     mu(iso)     mu(nem)
98   0.049804    0.937818  0.054119  -1.256448  -1.264545   0.239170   0.238882    3.545775    3.531895
99   0.050302    0.940159  0.054369  -1.208352  -1.216507   0.244772   0.244476    3.657702    3.643650
100  0.050800    0.942557  0.054625  -1.160097  -1.168311   0.250472   0.250166    3.770452    3.756226
101  0.051298    0.945012  0.054888  -1.111681  -1.119954   0.256270   0.255956    3.884032    3.869629
102  0.051796    0.947529  0.055158  -1.063099  -1.071432   0.262168   0.261844    3.998453    3.983868
103  0.052294    0.950111  0.055435  -1.014350  -1.022743   0.268167   0.267834    4.113722    4.098953
104  0.052792    0.952760  0.055720  -0.965428  -0.973883   0.274269   0.273926    4.229848    4.214891
105  0.053290    0.955480  0.056013  -0.916332  -0.924848   0.280474   0.280121    4.346840    4.331692
106  0.053788    0.958277  0.056316  -0.867057  -0.875636   0.286785   0.286421    4.464707    4.449363
107  0.054286    0.961155  0.056627  -0.817602  -0.826243   0.293202   0.292827    4.583458    4.567913
108  0.054784    0.964115  0.056948  -0.767962  -0.776667   0.299727   0.299341    4.703101    4.687350
109  0.055282    0.967164  0.057280  -0.718134  -0.726904   0.306361   0.305963    4.823644    4.807684
110  0.055780    0.970308  0.057622  -0.668116  -0.676951   0.313105   0.312696    4.945097    4.928922
111  0.056278    0.973551  0.057976  -0.617904  -0.626805   0.319961   0.319540    5.067468    5.051073
112  0.056776    0.976900  0.058343  -0.567496  -0.576463   0.326931   0.326497    5.190766    5.174145
113  0.057274    0.980361  0.058723  -0.516888  -0.525923   0.334016   0.333568    5.314999    5.298146
114  0.057772    0.983942  0.059117  -0.466078  -0.475181   0.341216   0.340755    5.440177    5.423085
115  0.058270    0.987651  0.059525  -0.415062  -0.424235   0.348534   0.348059    5.566307    5.548970
116  0.058768    0.991496  0.059950  -0.363839  -0.373081   0.355972   0.355481    5.693399    5.675810
