,S2,alpha,B5,error,B5*,error*
41,0.41,3.72597564,16331.626674350375,273.72700976649924,0.0104482638,0.00017511862499999998
42,0.42,3.82511532,15934.686285119742,270.22450641152983,0.0102939429,0.00017456733
43,0.43,3.92699511,16374.916713197998,265.50996738274546,0.010723711200000001,0.000173878882
44,0.44,4.0317916,15842.09517260934,262.88690671664267,0.0104915219,0.00017409842
45,0.45,4.13969293,15999.297438229089,260.86110915800657,0.0107241061,0.00017485156599999997
46,0.46,4.25089989,15859.21996919462,252.60116294661427,0.0107974087,0.00017197806700000002
47,0.47,4.36562724,15970.080767072379,253.54990991951195,0.011018213300000001,0.00017493130000000002
48,0.48,4.48410512,15264.877200706838,249.90985013922463,0.010684911699999999,0.000174928671
49,0.49,4.60658059,15586.0421478046,246.8906610256018,0.011046476000000001,0.00017498167499999998
50,0.5,4.7333194,15120.173503659267,245.16459300222408,0.010865756599999998,0.000176181761
51,0.51,4.86460796,15093.843260458725,241.29832681917122,0.011037858700000002,0.000176457168
52,0.52,5.00075552,14782.430309130337,240.56691986344777,0.0109655816,0.000178452131
53,0.53,5.14209662,14976.761659310434,230.45026694894088,0.011279406100000002,0.000173558357
54,0.54,5.28899391,15248.955940902206,225.89529884754612,0.011687796399999999,0.00017314092
55,0.55,5.44184129,15019.133722173867,227.21900008090657,0.0117037531,0.000177061815
56,0.56,5.60106746,14824.064935814238,219.89613289938845,0.011738228600000001,0.000174121679
57,0.57,5.76714005,14402.842056457894,218.58417676978345,0.0116211551,0.00017636801200000002
58,0.58,5.94057022,14861.791773525201,215.49745940770583,0.012211020900000001,0.00017706101800000001
59,0.59,6.12191803,14561.73208520741,211.94553545427385,0.0121757265,0.000177217302
60,0.6,6.31179855,14353.00850768861,208.41673704704885,0.012221986200000002,0.00017747265200000002
61,0.61,6.51088896,14574.641269270203,199.28759622221406,0.0126707418,0.00017325446499999998
62,0.62,6.71993674,14628.68736027348,200.44420740032675,0.012961063799999999,0.000177594209
63,0.63,6.93976917,14263.383356149523,190.8925990677716,0.0129026633,0.000172681535
64,0.64,7.17130447,14456.731199972692,189.03375454332792,0.0133615852,0.000174713812
65,0.65,7.41556483,14228.527287090383,189.9573236478692,0.0134342954,0.000179353966
66,0.66,7.67369169,14627.90852755926,181.37813894751167,0.014101544399999999,0.000174851509
67,0.67,7.94696392,13980.061765342569,179.39616659376262,0.0138070133,0.000177175559
68,0.68,8.23681924,14317.240819650315,174.73360068163504,0.0144855276,0.000176787443
69,0.69,8.54487997,14028.48261509129,173.05352285135066,0.014528628100000001,0.000179223252
70,0.7,8.8729838,14278.287596602144,163.2385793942903,0.015197882099999999,0.000173751976
71,0.71,9.22322096,14091.501323129241,160.1398033229841,0.0153623296,0.00017458185499999999
72,0.72,9.59797943,14181.526047742418,156.37173733689238,0.0158592122,0.000174870642
73,0.73,10.0000001,14169.334581562027,151.95673172970774,0.0163172066,0.000174991237
74,0.74,10.4324445,14226.316477759228,149.05751481662097,0.016856060200000002,0.000176610892
75,0.75,10.8989795,14595.829087315022,145.0323712969026,0.0177866571,0.000176738234
76,0.76,11.403882000000001,14288.124528035507,142.35873795331625,0.0179611102,0.000178954276
77,0.77,11.9521722,14403.004488936873,135.7196228946299,0.018680321899999998,0.000176024818
78,0.78,12.549781900000001,14697.617941025612,133.6580199073985,0.019707168400000002,0.00017921415000000002
79,0.79,13.203772400000002,14705.097805411493,130.2047833762214,0.0203747556,0.00018040618800000001
80,0.8,13.9226163,14842.464233842033,125.01007722828624,0.0213088561,0.00017947301100000002
81,0.81,14.716569199999999,14783.685521740046,122.08925836333098,0.022008985699999997,0.00018175851600000002
82,0.82,15.5981649,14810.262366750767,115.67937679495617,0.022892325,0.000178806413
83,0.83,16.5828859,14897.753814284615,109.35965656691718,0.0239183265,0.00017557680199999998
84,0.84,17.6900842,14896.730138221697,104.26072978041124,0.024973131099999997,0.00017478445599999998
85,0.85,18.944271899999997,15195.953805307476,100.53741155794046,0.02660115,0.00017599492600000002
86,0.86,20.376963800000002,15227.193906458711,96.19627740914011,0.0279153459,0.000176352411
87,0.87,22.0293705,15189.757417123099,92.0638560187145,0.0292473046,0.00017726548
88,0.88,23.9564392,15455.451185542037,87.7590812156705,0.0313433097,0.000177973456
89,0.89,26.2330968,15497.603151797526,82.24557813521338,0.033125906600000005,0.00017579875499999998
90,0.9,28.964240000000004,15752.700992865131,79.08353889351191,0.0356616138,0.000179032575
91,0.91,32.3013859,15651.040905323902,72.50977141928273,0.0377803133,0.000175032568
92,0.92,36.4718086,15685.401386874073,69.65282195858488,0.0405603245,0.000180112768
93,0.93,41.8326527,15635.719793730967,64.57047405337697,0.0433755704,0.0001791271
94,0.94,48.9791576,15463.88791664154,58.04887377782558,0.046541781100000006,0.000174710137
